personen_id;schreibweisen;quelle;anzahl_nennungen;erste_nennung;letzte_nennung;nennungsspanne_jahre;nennung_in_urkunden;nennung_in_buergerbuch;nennung_in_verlassenschaften;soziale_gruppe;beruf;unsicherheit_anmerkung
wilhalbmen_grassberger;Wilhalbmen Graßberger;Bürgerbuch;1;1575;1575;0;;BB-1553;;buerger;Tuchmacher;
wilhalm_schmidthueber;Wilhalm Schmidthueber;Bürgerbuch;1;1574;1574;0;;BB-1490;;buerger;Glaser;
wilhalm_walch;Wilhalm Walch;Bürgerbuch;1;1538;1538;0;;BB-0042;;buerger;;
wilhalm_widnbeck;Wilhalm Widnbeck;Bürgerbuch;1;1579;1579;0;;BB-1780;;buerger;Tuchmacher;
wilhalmen_pitterstoffers;Wilhalmen Pitterstoffers;Bürgerbuch;1;1578;1578;0;;BB-1723;;buerger;;
wilhelm_albrechten;Wilhalbmen Albrechten;Bürgerbuch;1;1559;1559;0;;BB-0798;;buerger;;
wilhelm_angerpeck;Wilhalbm Angerpeckh;Bürgerbuch;3;1565;1569;4;;BB-1039|BB-1119|BB-1304;;buerger;;
wilhelm_apotheker;Wilhelm Apotheker;Urkunden;1;1344;1344;0;StAK-UrkKr-0017;;;buerger;;
wilhelm_der_freundliche;Herzog Wilhelm|Wilhelm;Urkunden;8;1396;1412;16;StaAKr-0124|StaAKr-0125|StAK-Stein-2006|StAK-UrkKr-0084|StAK-UrkKr-0085|StAK-UrkKr-0086|StAK-UrkKr-0123|StAK-Stein- 2008;;;dynastie;;
wilhelm_ferrer;Wilhelmb Ferrer;Bürgerbuch;1;1615;1615;0;;BB-2601;;buerger;Tuchscherer;
wilhelm_freiherr_von_roggendorf;Wilhelm Freiherr von Roggendorf;Urkunden;1;1536;1536;0;StaAKr-0740;;;adel;;
wilhelm_freiherr_von_roggendorf_und_mollenburg;Wilhelm Freiherr von Roggendorf und Mollenburg;Urkunden;1;1523;1523;0;StAK-UrkKR-0644;;;adel;;
wilhelm_krosperger;Wilhalbm Kersperger|Wilhalbm Krosperger;Bürgerbuch;2;1566;1566;0;;BB-1096|BB-1112;;buerger;Fasszieher;
wilhelm_pebringer;Wilhelm Pebringer;Urkunden;1;1457;1457;0;StaAKr-0352;;;buerger;;
wilhelm_petterstorffer;Wilhalbm Petterstorffer;Bürgerbuch;1;1555;1555;0;;BB-0595;;buerger;;
