orte_id;orte;lat;lon;haeufigkeit;orte_unsicher;unsicherheit_anmerkung
lechtenbach;Lechtenbach;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0738a).
lengenfeld;Lengenfeld;48,4667;15,5833;3;nein;
leuven_belgien;Leuven, Belgien;50,8798;4,7009;2;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0521).
lichtenwoerth;Lichtenwörth;47,8353533;16,2939262;1;nein;
liebnitz;Liebnitz;48,8520303;15,4513235;1;nein;
lilienfeld;Lilienfeld;48,0149797;15,5966191;4;nein;
limberg_maissau;Limberg, Maissau;48,5739;15,8453;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StAK_15451103_900_reg).
lindberg;Lindberg;49,063098;13,3026953;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0273).
linz;Linz;48,3059078;14,286198;19;nein;
loket;Loket;49,6554898;15,1168908;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0499).
lotapeunt;Lotapeunt;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0259).
mailberg;Mailberg;48,6730424;16,1841711;3;ja;Ortsidentifikation in 3 Urkunden als unsicher markiert (Signatur(en): StaAKr-0302|StaAKr-0303|StaAKr-0304).
mainberg;Mainberg;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0365).
maissau;Maissau;48,5706932;15,8259176;2;nein;
maribor_slowenien;Maribor, Slowenien;46,5547;15,6467;1;nein;
marktschellenberg;Marktschellenberg;47,696036;13,0462546;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StAK-UrkKr-0084).
mautern_an_der_donau;Mautern an der Donau;48,3937912;15,5788626;18;nein;
melk;Melk;48,2272068;15,3369992;12;nein;
memmingen;Memmingen;47,9816221;10,168735;1;nein;
mollenburg;Mollenburg;48,2959917;15,2576405;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StAK_1647_909_reg).
mondsee;Mondsee;47,8560014;13,3500658;1;nein;
muehldorf_am_inn;Mühldorf am Inn;48,2405007;12,5250991;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0563b).
neuburg_am_inn;Neuburg am Inn;48,5069513;13,4482764;2;nein;
neulengbach;Neulengbach;48,1970124;15,907098;1;nein;
neupoella;Neupölla;48,6427421;15,4472668;2;nein;
niederlaufing;Niederlaufing;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0167).
nuernberg;Nürnberg;49,453872;11,077298;6;nein;
oberneukirchen_urfahr_umgebung;Oberneukirchen, Urfahr-Umgebung;48,4944;14,1481;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0673b).
olomouc;Olomouc;49,5940567;17,251143;1;nein;
osterhofen;Osterhofen;48,7019635;13,0201434;7;nein;
ottenschlag;Ottenschlag;48,4234347;15,2212807;1;nein;
otzesdorf;Otzesdorf;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0214).
passau;Passau;48,5748229;13,4609744;48;nein;
pauriss;Pauriß;;;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0696a).
pavlice;Pavlice;48,9714933;15,898675;1;nein;
persenbeug;Persenbeug;48,1864088;15,0858914;3;nein;
pinkafeld;Pinkafeld;47,37254;16,1234157;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0096).
plank;Plank;48,5487808;13,3536368;1;nein;
pottendorf;Pottendorf;47,9100871;16,3875417;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0272).
praha;Praha;50,0874654;14,4212535;4;nein;
preinreichs;Preinreichs;48,6231799;14,9814532;1;nein;
purgstall_an_der_erlauf;Purgstall an der Erlauf;48,0244;15,1011;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0155).
pisek;Písek;49,3089887;14,147769;1;nein;
poechlarn;Pöchlarn;48,2119885;15,2120099;1;nein;
poeggstall;Pöggstall;48,3176183;15,1994013;3;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0352).
raabs_an_der_thaya;Raabs an der Thaya;48,8474094;15,4934343;1;nein;
rabenstein;Rabenstein;48,0657421;15,4687121;1;ja;Ortsidentifikation in 1 Urkunde als unsicher markiert (Signatur(en): StaAKr-0366).
raitenhaslach;Raitenhaslach;48,128308;12,7869124;5;ja;Ortsidentifikation in 3 Urkunden als unsicher markiert (Signatur(en): StaAKr-0346|StaAKr-0349|StaAKr-0350).
rappottenstein_niederoesterreich;Rappottenstein, Niederösterreich;48,5578;15,0006;1;ja;Ortsidentifikation in 2 Urkunden als unsicher markiert (Signatur(en): StaAKr-0176|StaAKr-0258).
rastenberg;Rastenberg;48,5589;15,3281;1;nein;
regensburg;Regensburg;49,0195333;12,0974869;1;nein;
rehberg_bei_krems;Rehberg bei Krems;48,4467;15,5783;16;nein;
