signatur;datum;datum_normiert;datum_unsicher;jahr;orte;orte_unsicher;regest;personen;personen_id;personen_unsicher;kategorien;unsicherheit_anmerkung;foto_ordner
StaAKr-0546a;1495 V 28;1495_05_28;nein;1495;Schiltern;nein;1495 V 28 Privat des Pankraz Schlewffer an seinen Vetter Wolfgang betreff Nutz und Gehwähr eines Weingartens Schiltern, Christi Himmelfahrt. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Pankraz Schlewffer|Wolfgang;pankraz_schlewffer|wolfgang_1495;nein;Vermögen und Finanzen|Wirtschaft;;StaAKr-0546a
StAK-Stein-2023;1496 VII 6;1496_07_06;nein;1496;Stein;nein;König Maximilian beurkundet, daß Getreide und Salz an keinem anderen Orte als in Stein aufgeschüttet werden werden darf.;Maximilian I.;maximilian_i;nein;Politik|Wirtschaft;;StAK-Stein-2023
StaAKr-0547;1496 XI 14;1496_11_14;nein;1496;Weiten;nein;1496 XI 14 Martin Perichtold, Richter zu Weiten erhält von seiner Tochter eine halbe Wiese, gen. die Au, die sie von ihrer Mutter geerbt hat gegen jährl. 12 Pfund Grieß, die andere Hälfte besitzt er zu Leibgeding. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Martin Perichtold;martin_perichtold;nein;Bevölkerung und Bevölkerungsgruppen|Vermögen und Finanzen|Wirtschaft;;StaAKr-0547
StaAKr-0548;1496 XI 18;1496_11_18;nein;1496;Krems;nein;1496 XI 18 König Max I. befiehlt dem Bürgermeister, Richter und Rat von Krems und Stein, von den lauf. Einnahmen dem Kloster Gaming vier Mut Weizen zu geben. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Maximilian I.;maximilian_i;nein;Religion|Vermögen und Finanzen|Verwaltung|Wirtschaft;;StaAKr-0548
StaAKr-0549;1496 XI 26;1496_11_26;nein;1496;Passau|Großrust|Statzendorf|Weidling|Wetzmannsthal;nein;1496 XI 26, Passau Bischof Christof von Passau gibt Veit Plessner zu Lehen:den halben Getreidezehent zu Groß-Rust,  den halben Weinzehent zu Statzendorf, ein Viertel Getreidezehent zu Statzendorf, ein Viertel Getreidezehent in Weigling, den halben Wein- und Getreidezehent zu Watzmannstal. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Christof von Passau|Veit Plessner;christof_von_passau|veit_plessner;nein;Religion|Vermögen und Finanzen|Wirtschaft;;StaAKr-0549
StaAKr-0550;1496 XII 10;1496_12_10;nein;1496;Wien;nein;"1496 XII 10 König Max befiehlt ""nach dem altem herkomen"" zu St. Thomas Bürgermeister, Richter und Rat zu wählen; die Gewählten sollten persönlich in wien Eid leisten, die Ratsherren sind zu melden. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960)";Maximilian I.;maximilian_i;nein;Politik|Verwaltung;;StaAKr-0550
StaAKr-0551;1497;1497_00_00;ja;1497;Rom, Italien;nein;1497, Rom Für Lorenzius Hanusch, Ritter von Purkstein wird von Papst Alexander VI. ein freies Geleit ausgestellt gegen Mathes Slyck. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Lorenzius Hanusch|Alexander VI.|Mathes Slyck;lorenz_hanusch|alexander_vi|mathes_slyck;nein;Rechtswesen;Datierung unsicher: Nur Jahresangabe im Quellentext überliefert, kein exaktes Tages-/Monatsdatum.;StaAKr-0551
StaAKr-0552;1497 I 12;1497_01_12;nein;1497;Krems;nein;1497 I 12 Stiftung des Dreifaltigkeitsbeneficiums in der Kremser Pfarrkirche durch Wolfgang Kadlberger. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Wolfgang Kadlberger;wolfgang_kadlberger;nein;Religion|Vermögen und Finanzen;;StaAKr-0552
StaAKr-0553;1497 I 15;1497_01_15;nein;1497;Rom, Italien;nein;1497 I 15, Rom Freies Geleit für Lorenz Hanusch, Ritter von Purkstein vom General des Predigerordens gegen Mathes Slyck. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Lorenz Hanusch|Mathes Slyck;lorenz_hanusch|mathes_slyck;nein;Rechtswesen|Religion;;StaAKr-0553
StaAKr-0553a;1497 X 11;1497_10_11;nein;1497;Persenbeug;nein;1497 X 11 König Maximilian I. beauftragt Bürgermeister, Richter und Rat von Krems, zum Bau der Maximilianskapelle in Persenbeug deren Kirchenkirchenmeister 50 Gülden von den Einkünften, die sie für ihn einheben,  auszufolgen. Source Regest: Harry Kühnel, Stadtarchiv Krems. Urkunden 1108-1844 (Krems 1960);Maximilian I.;maximilian_i;nein;Religion|Vermögen und Finanzen|Verwaltung;;StaAKr-0553a
