id;Datum;Datum_unsicher;Name;personen_id;Beruf;Beruf_unsicher;Wirtschaftssektor;Buergen;buergen_id;Buergen_Berufe;Anmerkungen;Ort;orte_unsicher;Datum_Anmerkung;zuordnung_sicher;unsicherheit_anmerkung
BB-0704;1557-08-13;;Sebastian Resch;sebastian_resch;;;;;;;;;;;;
BB-0705;1557-08-13;;Hanns Grundtner;hans_grundtner;;;;Lasarus Püchler.;lasarus_puechler;;;;;;;
BB-0706;1557-09-24;;Jacob Merz;jakob_merz;;;;;;;;;;;;
BB-0707;1557-12-07;;Hanns Stachl;hans_stachl;Schneider;;Textil & Bekleidung;Caspar Schweickhl, Hanns Freisinger.;kaspar_schweickl|hans_freisinger;;;;;;ja;
BB-0708;1557-12-07;;Georg Regauer;georg_regauer;;;;Urban Khaltenegger (Bürger zu Stein).;urban_kaltenegger;;;;;;;
BB-0709;1557-12-14;;Steffan Rot;stephan_rot;Weber;;Textil & Bekleidung;Michael Khlerpaumb (Seiler), Hanns Starckhl (Binder) (Bürger zu Stein).;michael_klerbaum|hans_starckl;Seiler|Binder;;;;;ja;
BB-0710;1557-12-14;;Paull Otta;paul_otta;;;;;;;Erstmalig vorstellig am 26. März 1557.;;;;;
BB-0711;1557-12-18;;Hanns Unfridt;hans_unfridt;Binder;;Holz, Bau & Stein;;;;Erstmalig vorstellig am 8. Januar 1557.;;;Hernachbenennte burger haben den 18. Decembris anno etc. im 57. vor erwellung den aidt gethan.;ja;
BB-0712;1557-12-18;;Georg Lannckhmair;georg_lannckmair;Hafner;;Holz, Bau & Stein;;;;Zuvor Bürger zu Stein geworden. | Erstmalig vorstellig am 26. Januar 1557.;;;;ja;
BB-0713;1557-12-18;;Lorennz Fröllich;laurenz_frollich;;;;;;;Erstmalig vorstellig am 12. Februar 1557.;;;;;"personen_id vereinheitlicht (vorher lorenz_frollich): ""Erstmalig vorstellig""-Datum verweist exakt auf BB-0695 (""Larenntz Frollich"", Ähnlichkeit 0.909) - dieselbe Person."
BB-0714;1557-12-18;;Merth Neuber;martin_neuber;Bildschnitzer;;Kunst, Musik & Unterhaltung;;;;Erstmalig vorstellig am 30. April 1557.;;;;ja;
BB-0715;1557-12-18;;Matheus Tierstperger;matthaeus_dueerstperger;;;;;;;Erstmalig vorstellig am 4. Juni 1557 unter Matheus Düerstperger.;;;;;"personen_id vereinheitlicht (vorher matthaeus_tierstperger): ""Erstmalig vorstellig""-Datum verweist exakt auf BB-0701 (""Matheus Düerstperger"", Ähnlichkeit 0.9) - dieselbe Person."
BB-0716;1557-12-18;;Jacob Merz;jakob_merz;;;;;;;Erstmalig vorstellig am 24. September 1557.;;;;;
BB-0717;1557-12-18;;Sebastian Resch;sebastian_resch;;;;;;;Erstmalig vorstellig am 13. August 1557.;;;;;
BB-0718;1557-12-18;;Matheus Khuerz;matthaeus_kuerz;Radschmied;;Metall & Waffen;;;;;;;;ja;
BB-0719;1557-12-18;;Sebastian Munstrer;sebastian_munstrer;Plattner;;Metall & Waffen;;;;;;;;ja;
